X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
1.83E-08	0.44014235	404.36153	587362.9	1941.6415	1.0022921	6.60E-11	0.021653546	3.85E-13	0.17179414	9.04E-09	2.12E-09	1.73E-14	0.80655231	1.91E-11	-399.3667
2.18E-08	0.44014235	404.36153	587362.9	1941.6415	1.0022921	7.89E-11	0.021653546	5.38E-13	0.17179413	1.08E-08	2.53E-09	2.45E-14	0.80655231	2.71E-11	-399.08463
2.53E-08	0.44014234	404.36153	587362.9	1941.6415	1.0022921	9.19E-11	0.021653546	7.16E-13	0.17179413	1.25E-08	2.94E-09	3.30E-14	0.80655231	3.66E-11	-398.8028
2.88E-08	0.44014234	404.36152	587362.9	1941.6415	1.0022921	1.05E-10	0.021653546	9.21E-13	0.17179413	1.42E-08	3.35E-09	4.28E-14	0.80655231	4.74E-11	-398.52123
3.58E-08	0.44014234	404.36152	587362.91	1941.6415	1.0022921	1.31E-10	0.021653546	1.41E-12	0.17179413	1.77E-08	4.16E-09	6.62E-14	0.80655231	7.32E-11	-397.95883
4.28E-08	0.44014234	404.36152	587362.91	1941.6415	1.0022921	1.58E-10	0.021653545	2.00E-12	0.17179412	2.11E-08	4.98E-09	9.47E-14	0.80655231	1.05E-10	-397.39743
4.98E-08	0.44014234	404.36151	587362.91	1941.6415	1.0022922	1.85E-10	0.021653545	2.70E-12	0.17179412	2.46E-08	5.79E-09	1.28E-13	0.80655231	1.42E-10	-396.83702
6.39E-08	0.44014233	404.36151	587362.91	1941.6414	1.0022922	2.40E-10	0.021653545	4.42E-12	0.17179411	3.14E-08	7.42E-09	2.11E-13	0.80655231	2.33E-10	-395.71921
7.79E-08	0.44014233	404.3615	587362.91	1941.6414	1.0022922	2.96E-10	0.021653544	6.58E-12	0.1717941	3.83E-08	9.05E-09	3.13E-13	0.80655231	3.46E-10	-394.60536
9.19E-08	0.44014232	404.36149	587362.92	1941.6414	1.0022922	3.53E-10	0.021653544	9.19E-12	0.17179409	4.51E-08	1.07E-08	4.36E-13	0.80655231	4.81E-10	-393.49548
1.06E-07	0.44014232	404.36149	587362.92	1941.6414	1.0022922	4.12E-10	0.021653543	1.23E-11	0.17179408	5.19E-08	1.23E-08	5.79E-13	0.80655231	6.38E-10	-392.38953
1.20E-07	0.44014231	404.36148	587362.92	1941.6413	1.0022922	4.71E-10	0.021653543	1.58E-11	0.17179408	5.87E-08	1.39E-08	7.42E-13	0.80655231	8.17E-10	-391.28752
1.34E-07	0.44014231	404.36147	587362.93	1941.6413	1.0022923	5.32E-10	0.021653542	1.98E-11	0.17179407	6.55E-08	1.56E-08	9.26E-13	0.80655231	1.02E-09	-390.18942
1.62E-07	0.4401423	404.36146	587362.93	1941.6413	1.0022923	6.58E-10	0.021653541	2.92E-11	0.17179405	7.89E-08	1.88E-08	1.35E-12	0.80655231	1.49E-09	-388.00492
1.90E-07	0.44014229	404.36145	587362.94	1941.6412	1.0022923	7.88E-10	0.02165354	4.07E-11	0.17179404	9.23E-08	2.21E-08	1.86E-12	0.80655231	2.04E-09	-385.8359
2.18E-07	0.44014228	404.36143	587362.94	1941.6412	1.0022924	9.22E-10	0.021653539	5.42E-11	0.17179402	1.06E-07	2.54E-08	2.45E-12	0.80655231	2.68E-09	-383.68228
2.46E-07	0.44014227	404.36142	587362.95	1941.6411	1.0022924	1.06E-09	0.021653538	6.98E-11	0.171794	1.19E-07	2.86E-08	3.12E-12	0.80655231	3.41E-09	-381.54392
3.02E-07	0.44014225	404.36139	587362.96	1941.641	1.0022925	1.35E-09	0.021653535	1.08E-10	0.17179397	1.45E-07	3.51E-08	4.69E-12	0.80655231	5.12E-09	-377.31261
3.58E-07	0.44014223	404.36137	587362.97	1941.6409	1.0022925	1.67E-09	0.021653533	1.55E-10	0.17179394	1.71E-07	4.17E-08	6.59E-12	0.80655231	7.17E-09	-373.14111
4.20E-07	0.44014221	404.36134	587362.98	1941.6408	1.0022926	2.03E-09	0.021653531	2.18E-10	0.1717939	1.99E-07	4.88E-08	9.05E-12	0.80655231	9.82E-09	-368.60834
4.82E-07	0.44014219	404.36131	587362.99	1941.6408	1.0022927	2.42E-09	0.021653528	2.94E-10	0.17179387	2.27E-07	5.60E-08	1.19E-11	0.80655231	1.29E-08	-364.14617
5.44E-07	0.44014217	404.36128	587363	1941.6407	1.0022927	2.82E-09	0.021653525	3.83E-10	0.17179383	2.55E-07	6.32E-08	1.51E-11	0.80655231	1.63E-08	-359.75351
6.06E-07	0.44014215	404.36126	587363.01	1941.6406	1.0022928	3.25E-09	0.021653523	4.86E-10	0.17179379	2.82E-07	7.04E-08	1.87E-11	0.80655231	2.02E-08	-355.42925
6.68E-07	0.44014213	404.36123	587363.03	1941.6405	1.0022929	3.70E-09	0.02165352	6.04E-10	0.17179376	3.09E-07	7.76E-08	2.27E-11	0.80655231	2.44E-08	-351.17232
7.30E-07	0.44014211	404.3612	587363.04	1941.6404	1.0022929	4.17E-09	0.021653517	7.36E-10	0.17179372	3.35E-07	8.48E-08	2.71E-11	0.80655231	2.90E-08	-346.98167
